Interest Rate (August 2026),,,,,,,,,,,,,,,(Unit : %)
Date,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,25Y,30Y,40Y
2026/8/3,1.287,1.562,1.714,1.933,2.1,2.241,2.389,2.554,2.689,2.824,3.402,3.695,3.994,3.982,3.948
2026/8/4,1.298,1.568,1.724,1.931,2.096,2.241,2.395,2.563,2.702,2.848,3.414,3.71,4,3.99,3.962
2026/8/5,1.301,1.569,1.714,1.912,2.068,2.207,2.353,2.525,2.668,2.813,3.382,3.698,3.983,3.966,3.953
2026/8/6,1.311,1.565,1.709,1.893,2.044,2.176,2.319,2.49,2.629,2.773,3.34,3.659,3.945,3.919,3.912
2026/8/7,1.355,1.611,1.761,1.946,2.091,2.222,2.365,2.53,2.664,2.804,3.365,3.671,3.955,3.925,3.915
2026/8/10,1.363,1.618,1.773,1.956,2.101,2.233,2.376,2.54,2.674,2.815,3.38,3.696,3.985,3.957,3.955
2026/8/12,1.398,1.646,1.806,1.99,2.12,2.272,2.415,2.581,2.714,2.856,3.414,3.725,4.009,3.989,3.987
2026/8/13,1.4,1.651,1.815,2.005,2.134,2.291,2.434,2.599,2.731,2.873,3.427,3.741,4.024,4.002,4.006
2026/8/14,1.412,1.657,1.818,2.011,2.151,2.294,2.432,2.599,2.736,2.878,3.431,3.75,4.024,4.002,4.006
2026/8/17,1.439,1.696,1.852,2.043,2.177,2.332,2.471,2.639,2.777,2.919,3.478,3.8,4.067,4.05,4.05
2026/8/18,1.431,1.691,1.844,2.038,2.177,2.332,2.477,2.642,2.79,2.934,3.5,3.829,4.112,4.096,4.103
,,,,,,,,,,,,,,,
"  Å¶If you cannot download the latest csv data, please clear the browser's cache and download again.",,,,,,,,,,,,,,,
