date,usd,eur,gbp,jpy
2009-01-02,,2.101709,1.494364,
2009-01-05,,2.063826,1.568432,0.358000
2009-01-06,,2.106722,1.573831,0.374000
2009-01-07,,2.023338,1.559324,0.364000
2009-01-08,,1.963030,1.471012,0.369000
2009-01-09,,1.860615,1.424487,0.369000
2009-01-12,,1.858776,1.406300,
2009-01-13,,1.838591,1.455421,0.368000
2009-01-14,,1.825018,1.444672,0.374000
2009-01-15,,1.839766,1.444265,0.374000
2009-01-16,,1.871908,1.513305,0.364000
2009-01-19,,1.871544,1.522785,0.355000
2009-01-20,,1.845640,1.469058,0.350000
2009-01-21,,1.827292,1.359212,0.365000
2009-01-22,,1.771341,1.379513,0.360000
2009-01-23,,1.730806,1.399369,0.364000
2009-01-26,,1.953094,1.386878,0.385000
2009-01-27,,1.983181,1.418984,0.402000
2009-01-28,,1.905597,1.405380,0.411000
2009-01-29,,1.848713,1.384177,0.403000
2009-01-30,,1.787257,1.427970,0.403000
2009-02-02,,1.749242,1.445199,0.396000
2009-02-03,,1.693757,1.538262,0.409000
2009-02-04,,1.753526,1.558077,0.425000
2009-02-05,,1.647958,1.521123,0.423000
2009-02-06,,1.649645,1.547413,0.410000
2009-02-09,,1.690263,1.529046,0.393000
2009-02-10,,1.664999,1.506789,0.409000
2009-02-11,,1.605212,1.208866,
2009-02-12,,1.559577,1.071846,0.399000
2009-02-13,,1.580206,1.193189,0.389000
2009-02-16,,1.508375,1.216691,0.395000
2009-02-17,,1.462526,1.222253,0.385000
2009-02-18,,1.482866,1.341010,0.370000
2009-02-19,,1.627996,1.361505,0.380000
2009-02-20,,1.575182,1.351665,0.381000
2009-02-23,,1.586561,1.393130,0.385000
2009-02-24,,1.523870,1.321105,0.405000
2009-02-25,,1.492251,1.290270,0.410000
2009-02-26,,1.600295,1.362823,0.392000
2009-02-27,,1.556891,1.315274,0.392000
2009-03-02,,1.491866,1.252288,0.393000
2009-03-03,,1.473158,1.171408,0.393000
2009-03-04,,1.446071,1.180111,0.393000
2009-03-05,,1.448066,1.160389,0.399000
2009-03-06,,1.465132,1.202918,0.399000
2009-03-09,,1.538116,1.320539,0.399000
2009-03-10,,1.557679,1.302606,0.410000
2009-03-11,,1.626667,1.365906,0.410000
2009-03-12,,1.565028,1.359691,0.410000
2009-03-13,,1.586378,1.390350,0.410000
2009-03-16,,1.573983,1.468623,0.405000
2009-03-17,,1.597309,1.484556,0.406000
2009-03-18,,1.612535,1.481134,0.406000
2009-03-19,,1.607307,1.410831,0.396000
2009-03-20,,1.520612,1.379242,
2009-03-23,,1.543151,1.392410,0.403000
2009-03-24,,1.602728,1.347873,0.403000
2009-03-25,,1.620144,1.321533,0.403000
