snapshot_date,symbol,fy_date,epsAvg,epsHigh,epsLow,numAnalystsEps,revenueAvg,numAnalystsRevenue,sector,price,marketCap,volume
2026-08-28,A,2030-10-31,8.8151,9.00766,8.71272,2,9368006850,7,Healthcare,153.85,43452163200,2895419
2026-08-28,A,2029-10-31,8.08789,8.26456,7.99395,3,8892189775,7,Healthcare,153.85,43452163200,2895419
2026-08-28,A,2028-10-31,7.31278,7.97259,6.8556,7,8397368333,15,Healthcare,153.85,43452163200,2895419
2026-08-28,A,2027-10-31,6.60742,6.72683,6.43825,13,7894951660,15,Healthcare,153.85,43452163200,2895419
2026-08-28,AA,2030-12-31,0,0,0,1,13684000000,6,Basic Materials,50.32,13279900880,2413011
2026-08-28,AA,2029-12-31,8.15,9.02922,7.28141,1,14297545954,6,Basic Materials,50.32,13279900880,2413011
2026-08-28,AA,2028-12-31,6.44692,8.40856,4.97543,4,14278772598,8,Basic Materials,50.32,13279900880,2413011
2026-08-28,AA,2027-12-31,6.20057,9.78644,4.19419,8,15230053009,8,Basic Materials,50.32,13279900880,2413011
2026-08-28,AADX,2028-12-31,0.522,0.56,0.5,5,907084140,6,Industrials,13.3,2277160205,1785102
2026-08-28,AADX,2027-12-31,0.38,0.38701,0.37211,4,780320000,5,Industrials,13.3,2277160205,1785102
2026-08-28,AADX,2026-12-31,-0.61,-0.6,-0.62,3,680370000,5,Industrials,13.3,2277160205,1785102
2026-08-28,AADX,2025-12-31,0,0,0,1,522090000,1,Industrials,13.3,2277160205,1785102
2026-08-28,AAL,2030-12-31,3.2,3.30433,2.95746,4,77516000000,8,Industrials,13.64,9029270132,63394944
2026-08-28,AAL,2029-12-31,3.2635,3.3699,3.01615,2,71695063650,13,Industrials,13.64,9029270132,63394944
2026-08-28,AAL,2028-12-31,3.25548,4.22101,2.04557,7,69140258716,17,Industrials,13.64,9029270132,63394944
2026-08-28,AAL,2027-12-31,2.42448,4.09195,1.08437,14,66090580554,17,Industrials,13.64,9029270132,63394944
2026-08-28,AAOI,2028-12-31,10.67,12.58225,9.50106,1,5114750000,1,Technology,106.23,8524189138,5676317
2026-08-28,AAOI,2027-12-31,5.55167,6.16697,4.92239,3,2961229200,3,Technology,106.23,8524189138,5676317
2026-08-28,AAOI,2026-12-31,0.74,0.7962,0.67443,3,1048938000,4,Technology,106.23,8524189138,5676317
2026-08-28,AAOI,2025-12-31,-0.32563,-0.28493,-0.35005,4,452665557,4,Technology,106.23,8524189138,5676317
