"CubeId";"SNB1A@SNB.NSS.KZS.EID"
"PublishingDate";"2026-09-04 08:31"

"Date";"LAUFZEIT";"ZEITPUNKT";"frequency";"AGGREGATIONSMETHODE";"Value"
"1988-01-04";"J10M0";"A1100";"P1D_L";"ZZ";"4.015"
"1988-01-05";"J10M0";"A1100";"P1D_L";"ZZ";
"1988-01-06";"J10M0";"A1100";"P1D_L";"ZZ";
"1988-01-07";"J10M0";"A1100";"P1D_L";"ZZ";
"1988-01-08";"J10M0";"A1100";"P1D_L";"ZZ";
"1988-01-11";"J10M0";"A1100";"P1D_L";"ZZ";"4.015"
"1988-01-12";"J10M0";"A1100";"P1D_L";"ZZ";
"1988-01-13";"J10M0";"A1100";"P1D_L";"ZZ";
"1988-01-14";"J10M0";"A1100";"P1D_L";"ZZ";
"1988-01-15";"J10M0";"A1100";"P1D_L";"ZZ";
"1988-01-18";"J10M0";"A1100";"P1D_L";"ZZ";"4.025"
"1988-01-19";"J10M0";"A1100";"P1D_L";"ZZ";
"1988-01-20";"J10M0";"A1100";"P1D_L";"ZZ";
"1988-01-21";"J10M0";"A1100";"P1D_L";"ZZ";
"1988-01-22";"J10M0";"A1100";"P1D_L";"ZZ";
"1988-01-25";"J10M0";"A1100";"P1D_L";"ZZ";"4.085"
"1988-01-26";"J10M0";"A1100";"P1D_L";"ZZ";
"1988-01-27";"J10M0";"A1100";"P1D_L";"ZZ";
"1988-01-28";"J10M0";"A1100";"P1D_L";"ZZ";
"1988-01-29";"J10M0";"A1100";"P1D_L";"ZZ";"4.092"
"1988-02-01";"J10M0";"A1100";"P1D_L";"ZZ";"4.115"
"1988-02-02";"J10M0";"A1100";"P1D_L";"ZZ";
"1988-02-03";"J10M0";"A1100";"P1D_L";"ZZ";
"1988-02-04";"J10M0";"A1100";"P1D_L";"ZZ";
"1988-02-05";"J10M0";"A1100";"P1D_L";"ZZ";
"1988-02-08";"J10M0";"A1100";"P1D_L";"ZZ";"4.08"
"1988-02-09";"J10M0";"A1100";"P1D_L";"ZZ";
"1988-02-10";"J10M0";"A1100";"P1D_L";"ZZ";
"1988-02-11";"J10M0";"A1100";"P1D_L";"ZZ";
"1988-02-12";"J10M0";"A1100";"P1D_L";"ZZ";
"1988-02-15";"J10M0";"A1100";"P1D_L";"ZZ";"4.134"
"1988-02-16";"J10M0";"A1100";"P1D_L";"ZZ";
"1988-02-17";"J10M0";"A1100";"P1D_L";"ZZ";
"1988-02-18";"J10M0";"A1100";"P1D_L";"ZZ";
"1988-02-19";"J10M0";"A1100";"P1D_L";"ZZ";
"1988-02-22";"J10M0";"A1100";"P1D_L";"ZZ";"4.061"
"1988-02-23";"J10M0";"A1100";"P1D_L";"ZZ";
"1988-02-24";"J10M0";"A1100";"P1D_L";"ZZ";
