"CubeId";"SNB1A@SNB.NSS.KZS.EID"
"PublishingDate";"2026-08-21 09:55"

"Date";"LAUFZEIT";"ZEITPUNKT";"frequency";"AGGREGATIONSMETHODE";"Value"
"1988-01-04";"J02M0";"A1100";"P1D_L";"ZZ";"3.691"
"1988-01-05";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-01-06";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-01-07";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-01-08";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-01-11";"J02M0";"A1100";"P1D_L";"ZZ";"3.72"
"1988-01-12";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-01-13";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-01-14";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-01-15";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-01-18";"J02M0";"A1100";"P1D_L";"ZZ";"3.699"
"1988-01-19";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-01-20";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-01-21";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-01-22";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-01-25";"J02M0";"A1100";"P1D_L";"ZZ";"3.101"
"1988-01-26";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-01-27";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-01-28";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-01-29";"J02M0";"A1100";"P1D_L";"ZZ";"3.218"
"1988-02-01";"J02M0";"A1100";"P1D_L";"ZZ";"3.199"
"1988-02-02";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-02-03";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-02-04";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-02-05";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-02-08";"J02M0";"A1100";"P1D_L";"ZZ";"3.495"
"1988-02-09";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-02-10";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-02-11";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-02-12";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-02-15";"J02M0";"A1100";"P1D_L";"ZZ";"2.946"
"1988-02-16";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-02-17";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-02-18";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-02-19";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-02-22";"J02M0";"A1100";"P1D_L";"ZZ";"3.71"
"1988-02-23";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-02-24";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-02-25";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-02-26";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-02-29";"J02M0";"A1100";"P1D_L";"ZZ";"2.99"
"1988-03-01";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-03-02";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-03-03";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-03-04";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-03-07";"J02M0";"A1100";"P1D_L";"ZZ";"3.097"
"1988-03-08";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-03-09";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-03-10";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-03-11";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-03-14";"J02M0";"A1100";"P1D_L";"ZZ";"3.07"
"1988-03-15";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-03-16";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-03-17";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-03-18";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-03-21";"J02M0";"A1100";"P1D_L";"ZZ";"2.996"
"1988-03-22";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-03-23";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-03-24";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-03-25";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-03-28";"J02M0";"A1100";"P1D_L";"ZZ";"3.06"
"1988-03-29";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-03-30";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-03-31";"J02M0";"A1100";"P1D_L";"ZZ";"3.263"
"1988-04-01";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-04-04";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-04-05";"J02M0";"A1100";"P1D_L";"ZZ";"3.269"
"1988-04-06";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-04-07";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-04-08";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-04-11";"J02M0";"A1100";"P1D_L";"ZZ";"3.271"
"1988-04-12";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-04-13";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-04-14";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-04-15";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-04-18";"J02M0";"A1100";"P1D_L";"ZZ";"3.091"
"1988-04-19";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-04-20";"J02M0";"A1100";"P1D_L";"ZZ";
