"CubeId";"rendeiduebd"
"PublishingDate";"2026-08-03 14:30"

"Date";"D0";"D1";"Value"
"1988-01-01";"CHF";"1J";
"1988-01-01";"CHF";"2J";
"1988-01-01";"CHF";"3J";
"1988-01-01";"CHF";"4J";
"1988-01-01";"CHF";"5J";
"1988-01-01";"CHF";"6J";
"1988-01-01";"CHF";"7J";
"1988-01-01";"CHF";"8J";
"1988-01-01";"CHF";"9J";
"1988-01-01";"CHF";"10J";
"1988-01-01";"CHF";"20J";
"1988-01-01";"CHF";"30J";
"1988-01-01";"EUR";"1J";
"1988-01-01";"EUR";"2J";
"1988-01-01";"EUR";"3J";
"1988-01-01";"EUR";"4J";
"1988-01-01";"EUR";"5J";
"1988-01-01";"EUR";"6J";
"1988-01-01";"EUR";"7J";
"1988-01-01";"EUR";"8J";
"1988-01-01";"EUR";"9J";
"1988-01-01";"EUR";"10J";
"1988-01-01";"EUR";"20J";
"1988-01-01";"EUR";"30J";
"1988-01-01";"KTA";"2J";
"1988-01-01";"KTA";"5J";
"1988-01-01";"KTA";"10J";
"1988-01-01";"KTB";"2J";
"1988-01-01";"KTB";"5J";
"1988-01-01";"KTB";"10J";
"1988-01-01";"PFI";"2J";
"1988-01-01";"PFI";"5J";
"1988-01-01";"PFI";"10J";
"1988-01-01";"GBA";"2J";
"1988-01-01";"GBA";"5J";
"1988-01-01";"GBA";"10J";
"1988-01-01";"GBB";"2J";
"1988-01-01";"GBB";"5J";
"1988-01-01";"GBB";"10J";
"1988-01-01";"GBC";"2J";
"1988-01-01";"GBC";"5J";
"1988-01-01";"GBC";"10J";
"1988-01-01";"IHA";"2J";
"1988-01-01";"IHA";"5J";
"1988-01-01";"IHA";"10J";
"1988-01-01";"IHB";"2J";
"1988-01-01";"IHB";"5J";
"1988-01-01";"IHB";"10J";
"1988-01-04";"CHF";"1J";"3.448"
"1988-01-04";"CHF";"2J";"3.691"
"1988-01-04";"CHF";"3J";"3.749"
"1988-01-04";"CHF";"4J";"3.785"
"1988-01-04";"CHF";"5J";"3.823"
"1988-01-04";"CHF";"6J";"3.862"
"1988-01-04";"CHF";"7J";"3.902"
"1988-01-04";"CHF";"8J";"3.942"
"1988-01-04";"CHF";"9J";"3.98"
"1988-01-04";"CHF";"10J";"4.015"
"1988-01-04";"CHF";"20J";"4.229"
"1988-01-04";"CHF";"30J";
"1988-01-04";"EUR";"1J";
