"CubeId";"rendoblid"
"PublishingDate";"2025-09-01 14:29"

"Date";"D0";"Value"
"1988-01-01";"1J";
"1988-01-01";"2J";
"1988-01-01";"3J";
"1988-01-01";"4J";
"1988-01-01";"5J";
"1988-01-01";"6J";
"1988-01-01";"7J";
"1988-01-01";"8J";
"1988-01-01";"9J";
"1988-01-01";"10J0";
"1988-01-01";"15J";
"1988-01-01";"20J";
"1988-01-01";"30J";
"1988-01-01";"10J1";
"1988-01-01";"E";
"1988-01-01";"K";
"1988-01-01";"P";
"1988-01-01";"GK";
"1988-01-01";"IKH";
"1988-01-01";"AAA";
"1988-01-01";"AA";
"1988-01-01";"A";
"1988-01-04";"1J";"3.448"
"1988-01-04";"2J";"3.691"
"1988-01-04";"3J";"3.749"
"1988-01-04";"4J";"3.785"
"1988-01-04";"5J";"3.823"
"1988-01-04";"6J";"3.862"
"1988-01-04";"7J";"3.902"
"1988-01-04";"8J";"3.942"
"1988-01-04";"9J";"3.98"
"1988-01-04";"10J0";"4.015"
"1988-01-04";"15J";"4.148"
"1988-01-04";"20J";"4.229"
"1988-01-04";"30J";
"1988-01-04";"10J1";
"1988-01-04";"E";"3.942"
"1988-01-04";"K";
"1988-01-04";"P";
"1988-01-04";"GK";
"1988-01-04";"IKH";
"1988-01-04";"AAA";
"1988-01-04";"AA";
"1988-01-04";"A";
"1988-01-05";"1J";
"1988-01-05";"2J";
"1988-01-05";"3J";
"1988-01-05";"4J";
"1988-01-05";"5J";
"1988-01-05";"6J";
"1988-01-05";"7J";
"1988-01-05";"8J";
"1988-01-05";"9J";
"1988-01-05";"10J0";
"1988-01-05";"15J";
"1988-01-05";"20J";
"1988-01-05";"30J";
"1988-01-05";"10J1";
"1988-01-05";"E";
"1988-01-05";"K";
"1988-01-05";"P";
"1988-01-05";"GK";
"1988-01-05";"IKH";
"1988-01-05";"AAA";
"1988-01-05";"AA";
"1988-01-05";"A";
"1988-01-06";"1J";
"1988-01-06";"2J";
"1988-01-06";"3J";
"1988-01-06";"4J";
"1988-01-06";"5J";
"1988-01-06";"6J";
"1988-01-06";"7J";
"1988-01-06";"8J";
"1988-01-06";"9J";
"1988-01-06";"10J0";
"1988-01-06";"15J";
"1988-01-06";"20J";
"1988-01-06";"30J";
"1988-01-06";"10J1";
"1988-01-06";"E";
"1988-01-06";"K";
"1988-01-06";"P";
"1988-01-06";"GK";
"1988-01-06";"IKH";
"1988-01-06";"AAA";
"1988-01-06";"AA";
"1988-01-06";"A";
"1988-01-07";"1J";
"1988-01-07";"2J";
"1988-01-07";"3J";
"1988-01-07";"4J";
"1988-01-07";"5J";
"1988-01-07";"6J";
"1988-01-07";"7J";
"1988-01-07";"8J";
"1988-01-07";"9J";
"1988-01-07";"10J0";
"1988-01-07";"15J";
"1988-01-07";"20J";
"1988-01-07";"30J";
"1988-01-07";"10J1";
"1988-01-07";"E";
"1988-01-07";"K";
"1988-01-07";"P";
"1988-01-07";"GK";
"1988-01-07";"IKH";
"1988-01-07";"AAA";
"1988-01-07";"AA";
"1988-01-07";"A";
"1988-01-08";"1J";
"1988-01-08";"2J";
"1988-01-08";"3J";
"1988-01-08";"4J";
"1988-01-08";"5J";
"1988-01-08";"6J";
"1988-01-08";"7J";
"1988-01-08";"8J";
"1988-01-08";"9J";
"1988-01-08";"10J0";
"1988-01-08";"15J";
"1988-01-08";"20J";
"1988-01-08";"30J";
"1988-01-08";"10J1";
"1988-01-08";"E";
"1988-01-08";"K";
"1988-01-08";"P";
"1988-01-08";"GK";
"1988-01-08";"IKH";
"1988-01-08";"AAA";
"1988-01-08";"AA";
"1988-01-08";"A";
"1988-01-11";"1J";"3.442"
"1988-01-11";"2J";"3.72"
"1988-01-11";"3J";"3.783"
"1988-01-11";"4J";"3.816"
"1988-01-11";"5J";"3.847"
"1988-01-11";"6J";"3.879"
"1988-01-11";"7J";"3.913"
"1988-01-11";"8J";"3.948"
"1988-01-11";"9J";"3.982"
"1988-01-11";"10J0";"4.015"
"1988-01-11";"15J";"4.147"
"1988-01-11";"20J";"4.232"
"1988-01-11";"30J";
"1988-01-11";"10J1";
"1988-01-11";"E";"3.948"
"1988-01-11";"K";
"1988-01-11";"P";
"1988-01-11";"GK";
"1988-01-11";"IKH";
"1988-01-11";"AAA";
"1988-01-11";"AA";
"1988-01-11";"A";
