KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2002-01-01,,H,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2002-01-02,1.4436,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2002-01-03,1.4422,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2002-01-04,1.4305,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2002-01-07,1.4212,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2002-01-08,1.4267,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2002-01-09,1.4231,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2002-01-10,1.4254,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2002-01-11,1.4292,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2002-01-14,1.4252,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
