par,dias,n,spr_med,spr_p50,spr_p90,custo,faixa,razao
XAUUSD,31,44640,7.926678763440885,6.80000000000291,10.0,7.10000000000291,1029.300000000003,0.6897891771109386
EURUSD,38,54720,0.5677686403508997,0.2999999999997449,0.5999999999994898,0.599999999999745,51.900000000000276,1.1560693641613522
USDJPY,33,47520,0.9326893939393788,0.49999999999954525,0.8000000000009777,0.7999999999995453,63.39999999999861,1.2618296529961557
GBPUSD,34,48960,1.2536192810457603,0.700000000000145,1.100000000000545,1.000000000000145,74.29999999999936,1.345895020188632
AUDJPY,32,46080,1.232322048611106,0.7000000000005002,1.100000000000989,1.0000000000005003,72.20000000000013,1.3850415512472276
XAGUSD,33,47520,7.820768097643079,4.700000000000415,12.800000000000011,5.000000000000415,323.9999999999995,1.5432098765433404
EURJPY,32,46080,1.4971050347222306,0.9000000000014552,1.4999999999986358,1.2000000000014552,74.1500000000002,1.6183412002716815
NZDJPY,29,41760,1.4927825670497996,0.8000000000009777,1.3999999999995794,1.1000000000009778,62.89999999999907,1.7488076311621525
AUDUSD,34,48960,1.2312602124182999,0.900000000000345,1.2000000000000899,1.200000000000345,50.60000000000009,2.3715415019769623
USDCHF,33,47520,1.427624158249155,0.8000000000008001,1.2000000000000899,1.1000000000008001,46.10000000000003,2.38611713666117
CHFJPY,34,48960,3.529289215686275,2.2999999999996135,3.499999999999659,2.5999999999996133,107.85000000000196,2.4107556791836497
GBPJPY,33,47520,2.738232323232343,1.8000000000000682,2.7000000000015234,2.100000000000068,86.10000000000184,2.439024390243929
GBPAUD,31,44640,3.582056451612896,2.4000000000001798,3.60000000000138,2.7000000000001796,100.99999999999997,2.673267326732852
NZDUSD,30,43200,1.3243495370370342,0.9999999999998899,1.2000000000000899,1.29999999999989,48.500000000000206,2.6804123711337824
USDCAD,32,46080,1.519244791666657,1.100000000000545,1.500000000000945,1.400000000000545,52.19999999999891,2.6819923371658514
CADJPY,32,46080,1.7072938368055564,1.2000000000000455,1.7999999999986471,1.5000000000000455,54.299999999999926,2.762430939226607
EURAUD,33,47520,3.037215909090917,2.1999999999988695,2.8999999999990145,2.4999999999988693,88.99999999999908,2.808988764043703
GBPCAD,29,41760,3.6389727011494073,2.6999999999999247,3.900000000001125,2.9999999999999245,90.39999999999937,3.3185840707964
EURCAD,32,46080,2.6736566840277716,1.900000000001345,2.7999999999983594,2.200000000001345,58.85000000000029,3.7383177570116124
EURCHF,34,48960,1.5589930555555525,0.9999999999998899,1.40000000000029,1.29999999999989,32.69999999999995,3.975535168195388
AUDNZD,34,48960,2.688541666666666,1.9999999999997797,2.6999999999999247,2.2999999999997796,56.50000000000044,4.070796460176569
AUDCHF,24,34560,2.19219618055556,1.40000000000029,1.9999999999997797,1.70000000000029,40.900000000000375,4.156479217604582
AUDCAD,31,44640,2.7040927419354843,1.9000000000002348,2.5999999999992696,2.2000000000002347,51.59999999999942,4.263565891473371
EURGBP,32,46080,1.112717013888886,0.700000000000145,1.0999999999994348,1.000000000000145,23.400000000000084,4.273504273504877
EURNZD,26,37440,5.048576388888903,3.700000000002035,5.599999999998939,4.000000000002035,93.24999999999916,4.289544235927154
GBPNZD,28,40320,7.042522321428551,5.399999999999849,7.799999999997809,5.699999999999849,130.09999999999965,4.38124519600297
NZDCAD,25,36000,3.0714388888888746,2.2999999999995246,3.00000000000078,2.5999999999995245,52.80000000000062,4.9242424242414655
NZDCHF,21,30240,2.424818121693119,1.4999999999998348,2.100000000000435,1.7999999999998348,33.69999999999984,5.341246290800722
CADCHF,21,30240,2.2356646825396806,1.40000000000029,2.00000000000089,1.70000000000029,25.699999999999612,6.614785992219127
